product_name, price
Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot DP+HDMI compatible +DVI-D graphics card of Desktop,159
Yeston Nvidia GeForce GTX 1050 Ti Graphics Card(FAST SHIPPING 7-9 DAYS)| 4GB 128-Bit GDDR5 PCI Express 3.0 x16 | DVI-D/HDMI/DP Tri-Ports| G-Sync| GPU Boost| DirectX 12| Gaming GPU| Desktop Video Card,279
Yeston Radeon RX6700XT 12GB D6 GDDR6 192bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible   RGB light effect Fragrant graphics card,1099
GTX 1050 2GB DDR5 PCI Express 2.0 x12 ATX Video Cards DVI/VGA/HDMI,159
GIGABYTE A520M S2H mATX AM4 4+3 Phases Digital PWM| GIGABYTE Gaming GbE LAN| NVMe PCIe 3.0 x4 M.2| 3 Display Interfaces| Q-Flash Plus| RGB Fusion 2.0| Motherboard,67
GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card| 2 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060EAGLE OC-12GD (rev. 2.0) (LHR) Video Card,824
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),647
MSI Ventus GeForce GTX 1650 4GB GDDR5 PCI Express 3.0 x16 Video Card GTX 1650 VENTUS XS 4G OC,354
GIGABYTE GeForce RTX 3060 VISION OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060VISION OC-12GD Video Card,894
XFX SPEEDSTER SWFT 210 Radeon RX 6600 8GB GDDR6 PCI Express 4.0 ATX Video Card RX-66XL8LFDQ,559
GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060GAMING OC-12GD Video Card,858
ABS Master Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,1699
ABS Master Gaming PC - Windows 10 Home - Intel i5 11400F - EVGA GeForce RTX 2060 - 16GB DDR4 - 512GB Intel M.2 NVMe SSD,999
ASRock Challenger Pro Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT CLP 8GO,619
CORN AMD Radeon HD6450 2GB 64Bit GDDR3 Graphic Card Video Card GPU DirectX 11 PCI Express 2.1 16X DVI-D/VGA/HDMI,64
GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,390
GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card,729
GIGABYTE GeForce GT 1030 2GB GDDR5 PCI Express 3.0 x16 Video Card GV-N1030OC-2GI,159
Yeston Radeon RX6700XT 12GB D6 GDDR6 192bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible   RGB light effect Fragrant graphics card,1099
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 11700KF - GeForce RTX 3070 - G.Skill TridentZ RGB 16 GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,2199
ABS Gladiator Gaming PC - Windows 10 Home - Intel i9 11900KF - GeForce RTX 3080 - G.Skill TridentZ RGB 16GB DDR4 3200 MHz - 1TB Intel M.2 NVMe SSD,2999
ABS ROG Gundam Limited Edition Gaming PC - Windows 10 Home - Intel i7 11700K - STRIX Gundam GeForce RTX 3080 - G.Skill 32GB 3200MHz - 1TB Intel M.2 - STRIX 360mm AIO,3999
GIGABYTE Geforce RTX 2060 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR| GV-N2060D6-6GD Video Card,739
Biostar Gaming Radeon RX 550 4GB GDDR5 128-Bit DirectX 12 PCI Express 3.0 DVI-D Dual Link| HDMI| DisplayPort,205
BTC-37 Miner Motherboard Integrated CPU 8 Video Card Slot Support Max 4GB DDR3 Memory Type VGA HDMI PCIE 16X Bitcoin MB,189
BTC-S37 Mining Motherboard CPU Set 8 Video Card Slot DDR3 Support 1066/1333/1600MHz (65mm Interval),209
GIGABYTE  GV-N3080TEAGLE-12GD RTX 3080Ti 12G Video Card  PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for Desktop Graphics Cards,2189
ABS Master Gaming PC - Intel i5 11400F - GeForce RTX 2060 - 16GB DDR4 - 512GB Intel NVMe SSD,1099
ABS Master Gaming PC - Windows 10 Home - Intel i5 10400F - GeForce RTX 3060 12GB - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,1399
ABS Master Gaming PC - Windows 10 Home - Intel i7 10700F - GeForce RTX 2060 - 16GB DDR4 3000MHz - 512GB Intel M.2 NVMe SSD,1199
ABS Challenger Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce GTX 1660 Super - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,1049
Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,1499
ABS Master Gaming PC - Windows 10 Home - Intel i9 11900KB Beast Canyon NUC - Asus GeForce RTX 3060 - G.Skill Ripjaws 16GB (2x8GB) DDR4 3200MHz - Intel 1TB M.2 NVMe SSD,1999
ABS Legend Gaming PC - Windows 10 Home - Intel i9 11900KF - GeForce RTX 3080 Ti - G.Skill TridentZ RGB 16GB DDR4 3200 MHz - 1TB Intel M.2 NVMe SSD,3899
ABS Master Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce RTX 2060 6GB - 16GB DDR4 3000MHz - 512GB Intel M.2 NVMe SSD - White,1049
ABS Master Gaming PC - Windows 10 Home - Intel i5 10400F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,1499
